Trade date,Instrument code,Market code,Quantity,Price,Currency,Amount,Transaction fee,Transaction method
2023-10-01 23:25:52.365548 (UTC),STU,NZX,8.69565217,1.15,nzd,10,0,BUY
2024-03-18 14:07:16.162000 (UTC),SMH,NASDAQ,0.13700806,222.03,usd,30.42,0,BUY
2024-03-25 13:30:05.081000 (UTC),META,NASDAQ,0.03548827,506,usd,17.96,0,BUY
2024-01-16 14:30:28.910000 (UTC),KO,NYSE,0.30811258,60.4,usd,18.61,0,BUY
2024-01-07 23:45:22.172000 (UTC),ILC,ASX,1.5774744,29.3,aud,46.22,0,BUY
2023-11-19 23:30:33.499642 (UTC),AIR,NZX,37.03703704,0.675,nzd,25,0,BUY
2024-05-13 13:30:02.589000 (UTC),MSFT,NASDAQ,0.04294258,418,usd,17.95,0,BUY
2021-04-14 22:40:01 (UTC),ARG,NZX,18.277591,1.495,nzd,27.32,0.13731,BUY
2024-06-17 02:19:13.124752 (UTC),AIR,NZX,46.72897196,0.535,nzd,25,0,BUY
2024-08-07 13:30:01.391000 (UTC),ASX,NYSE,1.9423913,9.2,usd,17.87,0,BUY
2022-07-13 13:30:09.088000 (UTC),GSBD,NYSE,8.44775515,16.49,usd,139.3,0.69652,BUY
2023-11-12 23:25:30.065000 (UTC),BSE,ASX,147.28,0.125,aud,18.41,0,BUY
2024-04-22 13:30:03.645000 (UTC),KO,NYSE,0.05830564,60.2,usd,3.51,0,BUY
2023-09-19 13:32:57.674000 (UTC),TM,NYSE,0.07544363,194.98,usd,14.71,0,BUY
2024-03-11 13:30:01.669000 (UTC),AAPL,NASDAQ,0.10641618,173,usd,18.41,0,BUY
2024-04-22 13:30:10.836000 (UTC),JNJ,NYSE,0.05925527,148.51,usd,8.8,0,BUY
2022-01-25 14:30:36.303000 (UTC),IVW,NYSE,0.56030791,72.81,usd,40.8,0.20398,BUY
2024-05-13 13:30:04.050000 (UTC),ASX,NYSE,1.04563106,10.3,usd,10.77,0,BUY
2023-11-05 23:32:33.860553 (UTC),ANZ,NZX,0.8938148,27.97,nzd,25,0,BUY
2024-05-13 13:30:04.609000 (UTC),AAPL,NASDAQ,0.09686994,185.3,usd,17.95,0,BUY
2023-09-24 22:41:03.777839 (UTC),42033,FundNZ,13.8356,1.59,nzd,22,0,BUY
2024-03-18 00:04:37.050517 (UTC),STU,NZX,9.61538462,1.04,nzd,10,0,BUY
2021-01-28 14:33:24.750000 (UTC),IVW,NYSE,0.55269248,64.81,usd,35.82,0.18,BUY
2024-01-07 23:47:23.654025 (UTC),AIR,NZX,38.75968992,0.645,nzd,25,0,BUY
2023-08-28 13:30:01.598000 (UTC),AAPL,NASDAQ,0.32711808,180,usd,58.88,1.11874,BUY
2023-11-20 14:30:13.307000 (UTC),PLTR,NASDAQ,0.28813558,20.65,usd,5.95,0,BUY
2023-12-11 14:30:01.015000 (UTC),TM,NYSE,0.0782078,186.81,usd,14.61,0,BUY
2024-06-10 13:30:04.446000 (UTC),SMH,NASDAQ,0.12082835,251.1,usd,30.34,0,BUY
2023-10-24 02:23:20.153952 (UTC),CEN,NZX,1.27388535,7.85,nzd,10,0,BUY
2024-05-20 13:30:00.969000 (UTC),ASX,NYSE,1.04523238,10.56,usd,11.04,0,BUY
2024-09-27 13:30:06.968000 (UTC),SMH,NASDAQ,1.24257386,253.16,usd,314.57,0,BUY
2023-10-10 13:30:00.928000 (UTC),JNJ,NYSE,0.0945195,158.38,usd,14.97,0,BUY
2024-03-18 13:30:04.455000 (UTC),NVDA,NASDAQ,0.03029551,903.71,usd,27.38,0,BUY
2024-05-13 13:30:04.325000 (UTC),INTC,NASDAQ,0.89766667,30,usd,26.93,0,BUY
2024-04-15 13:30:05.324000 (UTC),SMH,NASDAQ,0.13215641,223.75,usd,29.57,0,BUY
2024-07-31 13:30:04.730000 (UTC),QQQ,NASDAQ,0.06270824,468.2,usd,29.36,0,BUY
2024-04-15 01:14:40.338000 (UTC),ILC,ASX,1.53136531,29.81,aud,45.65,0,BUY
2023-12-26 14:30:00.857000 (UTC),SMH,NASDAQ,0.17901945,173.78,usd,31.11,0,BUY
2024-06-17 13:30:05.752000 (UTC),AAPL,NASDAQ,0.08581074,213.26,usd,18.3,0,BUY
2024-02-27 14:30:01.024000 (UTC),SMH,NASDAQ,0.14527202,211.19,usd,30.68,0,BUY
2023-11-26 23:12:03.582376 (UTC),CEN,NZX,1.30378096,7.67,nzd,10,0,BUY
2023-12-26 14:30:31.861000 (UTC),META,NASDAQ,0.04206818,354.9,usd,14.93,0,BUY
2022-03-03 04:48:08.325000 (UTC),RIO,ASX,0.36567494,127.89,aud,46.77,0.23383,BUY
2024-01-16 14:30:37.993000 (UTC),SMH,NASDAQ,0.17894858,173.29,usd,31.01,0,BUY
2024-03-25 13:30:03.309000 (UTC),ASML,NASDAQ,0.04584955,979.13,usd,44.89,0,BUY
2023-10-09 13:30:22.763000 (UTC),PLTR,NASDAQ,0.18212188,16.253,usd,2.96,0,BUY
2023-11-27 14:30:00.941000 (UTC),TM,NYSE,0.07796883,186.1,usd,14.51,0,BUY
2024-01-02 14:30:02.510000 (UTC),SMH,NASDAQ,0.18163336,172.16,usd,31.27,0,BUY
2024-02-18 23:38:48.919353 (UTC),CEN,NZX,1.2300123,8.13,nzd,10,0,BUY
